day,responseTime_unixtimestamp,Attention,Stress
1,1556689210.0833333,1.3333333333333333,0.25
2,1556783131.1666667,2.8333333333333335,0.5833333333333334
3,1556870538.2222223,1.4444444444444444,1.4444444444444444
4,1556955909.0,1.3333333333333333,-1.3333333333333333
5,1557035299.8333333,0.6666666666666666,-1.1666666666666667
6,1557131241.857143,1.0,0.7142857142857143
7,1557226640.2,0.0,0.0
8,1557301369.9555554,0.6222222222222222,-0.3111111111111111
9,1557388078.3658535,0.5853658536585366,-0.4146341463414634
10,1557475660.2325583,0.7906976744186046,-0.7441860465116279
11,1557562027.6904762,1.0,-0.8333333333333334
12,1557645206.8285713,0.37142857142857144,0.08571428571428572
13,1557732584.4347825,0.34782608695652173,-0.43478260869565216
14,1557820047.6136363,0.7045454545454546,-0.38636363636363635
